s.no,cpu_times_user,cpu_times_nice,cpu_times_system,cpu_times_idle,cpu_times_iowait,cpu_times_irq,cpu_times_softirq,cpu_times_steal,cpu_times_guest,cpu_times_guest_nice,cpu_percent,cpu_count,cpu_stats_ctx_switches,cpu_stats_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_freq,cpu_loadavg,virtual_mem_total,virtual_mem_available,virtual_mem_percent,virtual_mem_used,virtual_mem_free,virtual_mem_active,virtual_mem_inactive,virtual_mem_buffers,virtual_mem_cached,virtual_mem_shared,virtual_mem_slab,swap_mem_total,swap_mem_used,swap_mem_free,swap_percent,swap_sin,swap_sout,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_read_merged_count,disk_write_merged_count,disk_busy_count
1,316.83,10.83,28.97,7749.76,193.11,0,0.54,0,0,0,0,1,2598073,1050336,342764,0,2592,0.09,2072051712,1104801792,46.7,789553152,842969088,418222080,648904704,26083328,413446144,26001408,89284608,470282240,424259584,46022656,90.2,40697856,495980544,59506,15120,2158542336,1280365568,477475,455251,19464,121598,265428
2,317,10.83,28.98,7751.53,193.14,0,0.54,0,0,0,8.1,1,2598963,1050737,342871,0,2592,0.09,2072051712,1104543744,46.7,789811200,842711040,418242560,649023488,26083328,413446144,26001408,89284608,470282240,424259584,46022656,90.2,40726528,495980544,59512,15120,2158571008,1280365568,477507,455251,19465,121598,265472
3,317.1,10.83,29,7753.41,193.14,0,0.54,0,0,0,6.1,1,2601139,1051402,343068,0,2592,0.09,2072051712,1104543744,46.7,789782528,842711040,418242560,649056256,26083328,413474816,26030080,89284608,470282240,424259584,46022656,90.2,40730624,495980544,59513,15161,2158575104,1280640000,477508,455258,19465,121599,265480
4,317.47,10.83,29.01,7755.01,193.14,0,0.54,0,0,0,2,1,2601734,1051680,343137,0,2592,0.08,2072051712,1104543744,46.7,789782528,842711040,418242560,649056256,26091520,413466624,26030080,89284608,470282240,424259584,46022656,90.2,40730624,495980544,59513,15163,2158575104,1280668672,477508,455307,19465,121604,265532
5,317.49,10.83,29.02,7756.94,193.19,0,0.54,0,0,0,2,1,2602179,1051895,343203,0,2592,0.08,2072051712,1104551936,46.7,789774336,842711040,418250752,648962048,26091520,413474816,26030080,89284608,470282240,424259584,46022656,90.2,40730624,495980544,59513,15163,2158575104,1280668672,477508,455307,19465,121604,265532
6,317.51,10.83,29.03,7758.9,193.19,0,0.54,0,0,0,2,1,2602635,1052105,343270,0,2592,0.08,2072051712,1104551936,46.7,789774336,842711040,418250752,648953856,26091520,413474816,26030080,89284608,470282240,424259584,46022656,90.2,40730624,495980544,59513,15163,2158575104,1280668672,477508,455307,19465,121604,265532
7,317.52,10.83,29.03,7760.87,193.19,0,0.54,0,0,0,1,1,2603422,1052487,343554,0,2592,0.07,2072051712,1059393536,48.9,834932736,797552640,426676224,685412352,26099712,413466624,26030080,89464832,470282240,424259584,46022656,90.2,40730624,495980544,59513,15165,2158575104,1280680960,477508,455310,19465,121605,265536
8,318.86,10.83,29.16,7761.4,193.2,0,0.54,0,0,0,100,1,2605357,1052998,343904,0,2592,0.07,2072051712,911319040,56,983007232,649469952,438988800,767123456,26099712,413474816,26030080,89661440,470282240,424259584,46022656,90.2,40734720,495980544,59514,15165,2158579200,1280680960,477508,455310,19465,121605,265540
9,319.04,10.83,29.16,7763.21,193.2,0,0.54,0,0,0,1,1,2605761,1053217,343967,0,2592,0.07,2072051712,911319040,56,983007232,649469952,438992896,767131648,26099712,413474816,26030080,89661440,470282240,424259584,46022656,90.2,40734720,495980544,59514,15165,2158579200,1280680960,477508,455310,19465,121605,265540
10,319.05,10.83,29.16,7765.18,193.2,0,0.54,0,0,0,1,1,2606203,1053446,344045,0,2592,0.07,2072051712,911319040,56,983007232,649469952,438992896,767131648,26107904,413466624,26030080,89661440,470282240,424259584,46022656,90.2,40734720,495980544,59514,15167,2158579200,1280697344,477508,455313,19465,121607,265544
11,319.07,10.83,29.17,7767.14,193.2,0,0.54,0,0,0,3,1,2606662,1053662,344111,0,2592,0.07,2072051712,911327232,56,982999040,649469952,439001088,767123456,26107904,413474816,26030080,89661440,470282240,424259584,46022656,90.2,40734720,495980544,59514,15167,2158579200,1280697344,477508,455313,19465,121607,265544
12,319.08,10.83,29.17,7769.12,193.2,0,0.54,0,0,0,1,1,2607066,1053891,344178,0,2592,0.06,2072051712,911331328,56,982994944,649469952,439001088,767139840,26107904,413478912,26030080,89661440,470282240,424259584,46022656,90.2,40738816,495980544,59515,15167,2158583296,1280697344,477509,455313,19465,121607,265548
13,319.1,10.83,29.17,7771.1,193.2,0,0.54,0,0,0,1,1,2608743,1054343,344281,0,2592,0.06,2072051712,878891008,57.6,1015435264,617017344,439013376,818663424,26116096,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40742912,495980544,59516,15176,2158587392,1280738304,477510,455317,19465,121608,265560
14,319.88,10.83,29.22,7772.26,193.2,0,0.54,0,0,0,0,1,2609152,1054561,344347,0,2592,0.06,2072051712,878891008,57.6,1015435264,617017344,439013376,818663424,26116096,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40742912,495980544,59516,15176,2158587392,1280738304,477510,455317,19465,121608,265560
15,319.9,10.83,29.22,7774.24,193.2,0,0.54,0,0,0,1,1,2609540,1054768,344408,0,2592,0.06,2072051712,878891008,57.6,1015435264,617017344,439013376,818663424,26116096,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40742912,495980544,59516,15176,2158587392,1280738304,477510,455317,19465,121608,265560
16,319.91,10.83,29.23,7776.21,193.2,0,0.54,0,0,0,2,1,2609938,1054966,344474,0,2592,0.06,2072051712,878891008,57.6,1015435264,617017344,439013376,818663424,26124288,413474816,26030080,89665536,470282240,424259584,46022656,90.2,40742912,495980544,59516,15178,2158587392,1280758784,477510,455327,19465,121611,265572
17,319.92,10.83,29.23,7778.18,193.21,0,0.54,0,0,0,1,1,2610377,1055207,344550,0,2592,0.05,2072051712,878891008,57.6,1015427072,617017344,439013376,818663424,26124288,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40742912,495980544,59516,15178,2158587392,1280758784,477510,455327,19465,121611,265572
18,319.94,10.83,29.23,7780.16,193.21,0,0.54,0,0,0,1,1,2610754,1055421,344608,0,2592,0.05,2072051712,878899200,57.6,1015427072,617017344,439021568,818688000,26124288,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40742912,495980544,59516,15178,2158587392,1280758784,477510,455327,19465,121611,265572
19,320.91,10.83,29.24,7781.17,193.21,0,0.54,0,0,0,91.9,1,2612484,1055890,344725,0,2592,0.05,2072051712,845025280,59.2,1049300992,583143424,439029760,885714944,26132480,413474816,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15180,2158599680,1280771072,477511,455331,19466,121612,265588
20,320.93,10.83,29.24,7783.14,193.21,0,0.54,0,0,0,1,1,2612893,1056097,344790,0,2592,0.05,2072051712,844775424,59.2,1049550848,582885376,439042048,885764096,26132480,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15180,2158599680,1280771072,477511,455331,19466,121612,265588
21,320.93,10.83,29.25,7785.12,193.21,0,0.54,0,0,0,1,1,2613323,1056305,344854,0,2592,0.05,2072051712,844775424,59.2,1049550848,582885376,439042048,885764096,26132480,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15180,2158599680,1280771072,477511,455331,19466,121612,265588
22,320.94,10.83,29.25,7787.09,193.21,0,0.54,0,0,0,1,1,2613728,1056503,344927,0,2592,0.04,2072051712,844775424,59.2,1049542656,582885376,439042048,885764096,26140672,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15182,2158599680,1280783360,477511,455334,19466,121613,265596
23,320.95,10.83,29.26,7789.07,193.22,0,0.54,0,0,0,2,1,2614115,1056704,344984,0,2592,0.04,2072051712,827998208,60,1066319872,566108160,439042048,885780480,26140672,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15182,2158599680,1280783360,477511,455334,19466,121613,265596
24,321.06,10.83,29.26,7790.94,193.22,0,0.54,0,0,0,11.1,1,2615795,1057215,345092,0,2592,0.12,2072051712,898641920,56.6,995684352,636743680,439050240,803266560,26140672,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15182,2158599680,1280783360,477511,455334,19466,121613,265596
25,322.08,10.83,29.28,7791.9,193.22,0,0.54,0,0,0,4,1,2616941,1057448,345172,0,2592,0.12,2072051712,898641920,56.6,995676160,636743680,439050240,803266560,26148864,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15184,2158599680,1280812032,477511,455338,19466,121618,265600
26,322.1,10.83,29.28,7793.87,193.22,0,0.54,0,0,0,2,1,2617338,1057653,345229,0,2592,0.12,2072051712,898641920,56.6,995667968,636743680,439050240,803266560,26148864,413491200,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15184,2158599680,1280812032,477511,455338,19466,121618,265600
27,322.11,10.83,29.28,7795.85,193.22,0,0.54,0,0,0,1,1,2617739,1057873,345289,0,2592,0.11,2072051712,898641920,56.6,995667968,636743680,439050240,803266560,26148864,413491200,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15184,2158599680,1280812032,477511,455338,19466,121618,265600
28,322.12,10.83,29.28,7797.83,193.22,0,0.54,0,0,0,1,1,2618163,1058082,345357,0,2592,0.11,2072051712,886083584,57.2,1008242688,624160768,439066624,803303424,26157056,413491200,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15186,2158599680,1280824320,477511,455341,19466,121619,265604
29,322.15,10.83,29.28,7799.8,193.22,0,0.54,0,0,0,2,1,2618561,1058303,345431,0,2592,0.1,2072051712,886083584,57.2,1008242688,624160768,439066624,803307520,26157056,413491200,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15187,2158599680,1280832512,477511,455341,19466,121620,265608
30,323.14,10.83,29.3,7800.8,193.22,0,0.54,0,0,0,100,1,2621017,1058883,345564,0,2592,0.1,2072051712,931065856,55.1,963260416,669143040,439066624,782282752,26157056,413491200,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15187,2158599680,1280832512,477511,455341,19466,121620,265608
31,323.5,10.83,29.3,7802.43,193.22,0,0.54,0,0,0,2,1,2621454,1059140,345635,0,2592,0.1,2072051712,931065856,55.1,963260416,669143040,439066624,782344192,26165248,413483008,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15194,2158599680,1280881664,477511,455348,19466,121625,265620
